Category,Role,Keywords,Skills,KPI,Tools
Operations,Operations Manager v6,"processes, efficiency, scalability + roadmapping, experimenting, scaling","optimization + time management, technical communication","cost reduction + velocity, cycle time","Asana + Jira, Figma"
Operations,Business Operations v6,"strategy, execution + scaling, alignment, experimenting","cross-functional thinking + time management, technical communication","OKRs + ROI, throughput","Notion + Figma, Notion"
Operations,Supply Chain Manager v6,"logistics, inventory + automation, forecasting, strategy","planning + problem solving, critical thinking","lead time + velocity, quality score","ERP + Figma, Notion"
Operations,Project Manager v6,"timelines, scope, resources + optimization, experimenting, roadmapping","organization + technical communication, adaptability","delivery rate + accuracy, efficiency","Jira + Miro, Looker"
Legal,Legal Counsel v6,"contracts, compliance, risk + experimenting, metrics, benchmarking","legal expertise + problem solving, technical communication","contract cycle time + growth rate, cycle time","DocuSign + Airtable, Slack"
Legal,Compliance Officer v6,"regulations, audits + alignment, experimenting, benchmarking","attention to detail + data literacy, time management","compliance rate + ROI, throughput","GRC tools + Power BI, Miro"
Legal,Paralegal v6,"documentation, research + reporting, prioritization, experimenting","organization + data literacy, stakeholder management","case turnaround + velocity, growth rate","Legal software + Slack, Looker"
IT,IT Support v6,"troubleshooting, hardware, software + experimenting, execution, metrics","technical support + adaptability, technical communication","ticket resolution + velocity, efficiency","ServiceNow + Miro, Jira"
IT,System Administrator v6,"networks, servers, security + automation, strategy, cross-functional","infrastructure + time management, critical thinking","uptime + throughput, efficiency","Linux + Looker, Airtable"
IT,Security Engineer v6,"cybersecurity, threat detection + prioritization, metrics, cross-functional","risk management + technical communication, collaboration","incidents + quality score, efficiency","SIEM tools + Jira, Google Workspace"
IT,IT Manager v6,"IT strategy, systems + experimenting, metrics, cross-functional","leadership + time management, critical thinking","downtime + ROI, growth rate","ITSM tools + Power BI, Asana"
